ID,Full case title,Year,Respondent State,Home State of investor,Sector,Summary,Treaty,Rules,Administrating institution,amountSought,amountSought_cur,amountAwarded,amountAwarded_cur,Decisions,Publically available,Concurring opinion,Concurring opinion issued,Award,Award's Annulment,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,italaw,CommentsNLinks
UNC383,AES Corporation and Tau Power B.V. v. Kazakhstan (ICSID Case No. ARB/10/16),2010,Kazakhstan,United States of America; Netherlands,"Electricity, gas, steam and air conditioning supply",Claims arising out of a series of actions including fines and tariff restrictions imposed to claimants by Kazakh competition authorities concerning energy prices that allegedly had adverse financial impacts on the company’s operations in the country.,Kazakhstan-US BIT; Energy Charter Treaty,ICSID,ICSID,1290000000,USD,,USD,Award dated 1 November 2013,No,No,Not applicable,Awarded in favor of neither investor nor state,None,"Tercier, P. (replacement); Born, G. B. (resigned)",Yes,"Sachs, K.",Yes,"Lowe, V.",Yes,http://www.italaw.com/cases/2288,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/10/16;http://www.encharter.org/index.php?id=213&L=0#Tau;http://www.iareporter.com/articles/20131104_1;http://globalarbitrationreview.com/news/article/32029/kazakhstan-held-liable-escapes-damages/;http://globalarbitrationreview.com/news/article/28622/kazakhstan-faces-claim-energy-charter-treaty/
UNC319,HICEE B.V. v. The Slovak Republic (PCA Case No. 2009-11),2008,Slovakia,Netherlands,"Insurance, reinsurance and pension funding, except compulsory social security","Claims arising out of the Government's adoption of a number of changes and amendments to the laws on health insurance since 2007, including an Act by which health insurance companies were prohibited from distributing profits and made subject to a cap on their permissible administrative expenses.",Netherlands-Slovak Republic BIT,UNCITRAL,PCA,1388000000,USD,,USD,Partial Award dated 23 May 2011;Supplementary and Final Award dated 17 October 2011,Yes,Yes,Dissenting Opinion of Judge Charles N. Brower (Partial Award),Awarded in favor of state,None,"Berman, F.",Yes,"Brower, C. N.",Yes,"Tomka, P.",Yes,http://www.italaw.com/cases/534,http://www.pca-cpa.org/showpage.asp?pag_id=1427;http://www.finance.gov.sk/en/Default.aspx?CatID=10&id=71;http://globalarbitrationreview.com/news/article/29903/slovakia-defeats-health-insurance-claim/
UNC359,KT Asia Investment Group B.V. v. Kazakhstan (ICSID Case No. ARB/09/8),2009,Kazakhstan,Netherlands,"Financial service activities, except insurance and pension funding","Claims arising out of the Government's alleged forced nationalization of claimant's interest in BTA Bank, by means of Kazakhstan's acquisition of around 75 per cent of the shares of BTA through the National Welfare Fund SamrUnited Kingdom-Kazyna.",Kazakhstan-Netherlands BIT,ICSID,ICSID,1500000000,USD,,USD,"Award dated October 17, 2013",Yes,No,Not applicable,Awarded in favor of state,Annulment,"Kaufmann-Kohler, G.",Yes,"Glick, I.",Yes,"Thomas, J. C.",Yes,http://www.italaw.com/cases/2277,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/09/8;http://www.adilet.gov.kz/en/node/50061;http://globalarbitrationreview.com/news/article/31991/kazakhstan-wins-again-jurisdiction/;http://www.lexology.com/library/detail.aspx?g=cb52457a-df49-4708-94fc-5c8cd4b1c8c7
UNC262,Saba Fakes v. Turkey (ICSID Case No. ARB/07/20),2007,Turkey,Netherlands,Telecommunications,"Claims arising out of the receivership and the alleged subsequent forced sale by Turkish authorities of assets held by Telsim, a major mobile phone company in which the claimant had invested.",Netherlands-Turkey BIT,ICSID,ICSID,19000000000,USD,,USD,Decision on Preliminary Issues dated 6 October 2008;Award dated 14 July 2010,Yes,No,Not applicable,Awarded in favor of state,None,"Gaillard, E.",Yes,"van Houtte, H.",Yes,"Lévy, L.",Yes,http://www.italaw.com/cases/429,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/07/20
UNC074,Aguas del Tunari S.A. v. Bolivia (ICSID Case No. ARB/02/3),2002,"Bolivia, Plurinational State of",Netherlands,"Water collection, treatment and supply; Sewerage",Claims arising out of alleged actions and omissions of the government leading up to the rescission of a concession agreement entered into with the claimant.,Bolivia-Netherlands BIT,ICSID,ICSID,,,,USD,"Decision on Jurisdiction dated 21 October 2005; Order taking note of the discontinuance issued by the Tribunal dated 28 March 2006, pursuant to ICSID Arbitration Rule 44",Yes,Yes,Dissenting Declaration of Jose Luis Alberro-Semerena (Decision on Jurisdiction),Settled,None,"Caron, D. D.",Yes,"Álvarez, H. C.",Yes,"Alberro-Semerena, J. L.",Yes,http://www.italaw.com/cases/57,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/02/3;https://icsid.worldbank.org/ICSID/FrontServlet?requestType=CasesRH&actionVal=showDoc&docId=DC628&caseId=C210; http://www.bechtel.com/2006-01-19.html
UNC179,TSA Spectrum de Argentina S.A. v. Argentine Republic (ICSID Case No. ARB/05/5),2005,Argentina,Netherlands,Telecommunications,Claims arising out of the termination of the concession contract entered into with the claimant through a resolution deciding that the national's telecommunications authority would operate the installations and assets that were the object of the contract due to the investor's alleged illicit enrichment.,Argentina-Netherlands BIT,ICSID,ICSID,,,,USD,Award dated19 December 2008,Yes,Yes,Dissenting Opinion of Arbitrator Grant D. Aldonas (Award); Concurring Opinion of Arbitrator Georges Abi-Saab (Award),Awarded in favor of state,None,"Danelius, H.",Yes,"Aldonas, G. D.",Yes,"Abi-Saab, G.",Yes,http://www.italaw.com/cases/1118,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/05/5;http://globalarbitrationreview.com/journal/article/15623/treaty-arbitration-tsa-spectrum-tribunal-opts-pierce-corporate-veil/;http://globalarbitrationreview.com/news/article/15022/argentina-wins-split-decision-radio-claim/
UNC499,"Slovak Gas Holding BV, GDF International SAS and E.ON Ruhrgas International GmbH v. Slovak Republic (ICSID Case No. ARB/12/7)",2012,Slovakia,France; Germany; Netherlands,"Electricity, gas, steam and air conditioning supply","Claims arising out of legislative amendments affecting Slovakian price regulation in the gas sector that were allegedly in contravention of certain shareholder's agreement concluded between the claimants and Slovakia, among other actions allegedly resulting in financial losses for claimants' investment in a Slovakian gas company.",Energy Charter Treaty,ICSID,ICSID,,,,USD,Award embodying the parties' settlement agreement dated 19 March 2013,Yes,No,Not applicable,Settled,None,"Landau, T.",Yes,"Douglas, Z.",Yes,"Thomas, J. C.",Yes,http://www.italaw.com/cases/1833,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/12/7;http://globalarbitrationreview.com/news/article/31446/settlements-reached-icsid-nafta-cases/;http://www.iareporter.com/articles/20120410_1
UNC500,"Emmis International Holding, B.V., Emmis Radio Operating, B.V., MEM Magyar Electronic Media Kereskedelmi és Szolgáltató Kft. v. Hungary (ICSID Case No. ARB/12/2)",2012,Hungary,Netherlands; Switzerland,Programming and broadcasting activities,"Claims arising out of the alleged expropriation of claimants' investments in nationwide FM-frequency radio-broadcasting licenses in Hungary, through the Government's decision to award the radio-broadcasting frequencies formerly held by claimants to a third party.",Hungary-Netherlands BIT; Hungary-Switzerland BIT,ICSID,ICSID,,,,USD,Decision on Respondent’s Objection Under ICSID Arbitration Rule 41(5) dated 11 March 2013; Decision on Respondent's Application for Bifurcation dated 13 June 2013; Award dated 16 April 2014,Yes,No,Not applicable,Awarded in favor of state,None,"McLachlan, C. A.",Yes,"Lalonde, M.",Yes,"Thomas, J. C.",Yes,http://www.italaw.com/cases/384,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/12/2http://www.iareporter.com/articles/20140418;http://www.iareporter.com/articles/20111231_3
UNC011,FEDAX N.V. v. The Venezuela (ICSID Case No. ARB/96/3),1996,"Venezuela, Bolivarian Republic of",Netherlands,"Financial service activities, except insurance and pension funding",Claims arising out of the alleged lack of payment of certain debt instruments issued by the Government which were assigned by way of endorsement to the claimant.,Netherlands-Venezuela BIT,ICSID,ICSID,600000,USD,600000,USD,Decision on Jurisdiction dated 11 July 1997;Award dated 9 March 1998,Yes,No,Not applicable,Awarded in favor of investor,None,"Orrego Vicuña, F.",Yes,"Heth, M.",Yes,"Owen, B. R.",Yes,http://www.italaw.com/cases/432,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/96/3
UNC217,Bernardus Henricus Funnekotter and others v. Zimbabwe (ICSID Case No. ARB/05/6),2005,Zimbabwe,Netherlands,"Crop and animal production, hunting and related service activities","Claims arising out of the enactment of a Land Acquisition Act and other measures authorizing the Government to acquire compulsorily any rural land when the acquisition was deemed necessary for agricultural settlement purposes under which the claimants' properties were allegedly expropriated without compensation, including the presence of war veterans and settlers that forced the claimants to vacate their farms.",Netherlands-Zimbabwe BIT,ICSID,ICSID,15600000,USD,10600000,USD,Award dated 22 April 2009,Yes,No,Not applicable,Awarded in favor of investor,None,"Guillaume, G.",Yes,"Cass, R. A.",Yes,"Wasi Zafar, M.",Yes,http://italaw.com/cases/467,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/05/6;http://globalarbitrationreview.com/news/article/14198/zimbabwe-admits-bit-breach/
UNC271,"Bureau Veritas, Inspection, Valuation, Assesment and Control, BIVAC B.V. v. Paraguay (ICSID Case No. ARB/07/9)",2007,Paraguay,Netherlands,"Other professional, scientific and technical activities","Claims arising out of Paraguay's alleged non-payment of invoices to the investor under a contract in which Bureau Veritas was to provide pre-shipment inspection support to the Paraguayan Customs Agency, to assist the collection of import duties.",Netherlands-Paraguay BIT,ICSID,ICSID,36100000,USD,21000000,USD,"Decision of the Tribunal on Objections to Jurisdiction dated 29 May 2009;Further Decision on Objections to Jurisdiction dated 9 October 2012;Order taking note of the discontinuance issued by the Tribunal dated 7 August 2014, pursuant to Arbitration Rule 43(1)",Yes,No,Not applicable,Settled,None,"Knieper, R.",Yes,"Fortier, L. Y.",Yes,"Sands, P.",Yes,http://www.italaw.com/cases/179,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/07/9;http://globalarbitrationreview.com/news/article/14454/french-company-files-arbitration-against-paraguay/;http://globalarbitrationreview.com/news/article/31757/paraguay-settle-icsid-claim-bond-issuance/http://www.iareporter.com/articles/20140821
UNC324,Achmea B.V. (formerly Eureko B.V.) v. The Slovak Republic (PCA Case No. 2008-13) (I),2008,Slovakia,Netherlands,"Insurance, reinsurance and pension funding, except compulsory social security",Claims arising out of various legislative measures introduced by Slovakia that allegedly constituted a systematic reversal of the previous liberalisation of the Slovak health insurance market that had prompted the claimant to invest in the Slovak Republic’s health insurance sector.,Netherlands-Slovak Republic BIT,UNCITRAL,PCA,84700000,USD,28800000,USD,"Award on Jurisdiction, Arbitrability and Suspension dated 26 October 2010;Award dated 7 December 2012",Yes,No,Not applicable,Awarded in favor of investor,Judicial review,"Lowe, V.",Yes,"van den Berg, A. J.",Yes,"Veeder, V. V. (replacement); Tomka, P. (resigned)",Yes,http://italaw.com/cases/417,http://globalarbitrationreview.com/news/article/31145/german-court-hear-further-challenge-slovakia/
UNC147,Eastern Sugar B.V. v. The Czech Republic (SCC Case No. 088/2004),2004,Czech Republic,Netherlands,Manufacture of food products,"Claims arising out of various regulatory sugar regimes put in place by the respondent from 2000 onwards; particularly, the Czech Republic’s allocation of sugar quotas based on the European Union’s agricultural quota system that allegedly affected the claimant's investments.",Czech Republic-Netherlands BIT,UNCITRAL,SCC,113100000,USD,33700000,USD,Partial Award dated 27 March 2007;Final Award dated 12 April 2007,Yes,Yes,Partial Dissenting Opinion of Robert Volterra (Final Award),Awarded in favor of investor,None,"Karrer, P. A.",Yes,"Volterra, R.",Yes,"Gaillard, E.",Yes,http://www.italaw.com/cases/368,http://iiapp.org/media/uploads/eastern_sugar_v_czech_republic.rev.pdf
UNC273,E.T.I. Euro Telecom International N.V. v. Plurinational State of Bolivia (ICSID Case No. ARB/07/28) (I),2007,"Bolivia, Plurinational State of",Netherlands,Telecommunications,Claims arising out of the Government's transfer of claimant's 50 per cent stake in the Bolivian telecoms company Entel to the State after the company was nationalized in 2007.,Bolivia-Netherlands BIT,ICSID,ICSID,961600000,USD,50000000,USD,"Order taking note of the discontinuance of the proceeding issued by the Tribunal dated 21 October 2009, pursuant to ICSID Arbitration Rule 44",No,No,Not applicable,Settled,None,"Simma, B.",Yes,"Orrego Vicuña, F.",Yes,"Sands, P.",Yes,None,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/07/28;http://globalarbitrationreview.com/news/article/28899/telecom-italia-wins-payout-bolivia/;http://globalarbitrationreview.com/news/article/14849/bolivia-eti-nominate-arbitrators/
UNC350,E.T.I. Euro Telecom International N.V. v. Bolivia (II),2009,"Bolivia, Plurinational State of",Netherlands,Telecommunications,Claims arising out of the Government's transfer of claimant's 50 per cent stake in the Bolivian telecoms company Entel to the State after the company was nationalized in 2007.,Bolivia-Netherlands BIT,UNCITRAL,PCA,961600000,USD,50000000,USD,Data not available,No,Data not available,Data not available,Settled,None,"Simma, B.",Yes,"Orrego Vicuña, F.",Yes,"Sands, P.",Yes,None,http://omal.info/spip.php?article2208;https://books.google.ch/books?id=RbQq8dQtsQ0C&pg=PA71&lpg=PA71&dq=E.T.I.+Euro+Telecom+Bolivia+2009&source=bl&ots=8q3tcu0wKi&sig=VJHd5ZI9yaBmD97UdlCiFFJH5VY&hl=en&sa=X&ei=2HnjVMHJMoGvPLuNgcgE&ved=0CDUQ6AEwBQ#v=onepage&q=E.T.I.%20Euro%20Telecom%20Bolivia%202009&f=false;http://globalarbitrationreview.com/news/article/28899/telecom-italia-wins-payout-bolivia/;https://books.google.ch/books?id=U0cpomZeSbYC&pg=PA530&lpg=PA530&dq=E.T.I.+Euro+Telecom+International+N.V.+v.+Republic+of+Bolivia&source=bl&ots=lVxcDdrfam&sig=ogSeCJwFxJqNz6MDmY_zjBgG0g4&hl=en&sa=X&ei=8nLjVPjiHYK3PPz8gPgB&ved=0CC8Q6AEwBjgK#v=onepage&q=E.T.I.%20Euro%20Telecom%20International%20N.V.%20v.%20Republic%20of%20Bolivia&f=false
UNC145,Interbrew v. Slovenia (ICSID Case No. ARB/04/17),2004,Slovenia,Netherlands,Manufacture of beverages,Claims arising out of the alleged role of the Slovenian Government concerning the acquisition of equity interests in the second largest local brewer Pivovarna Union.,Netherlands-Slovenia BIT,ICSID,ICSID,,,70700000,USD,"Order taking note of the discontinuance issued by the Tribunal dated 18 July 2005, pursuant to ICSID Arbitration Rule 44",No,Data not available,Data not available,Settled,None,"Orrego Vicuña, F.",Yes,"Brower, C. N.",Yes,"Feliciano, F. P.",Yes,None,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/04/17;http://www.iisd.org/pdf/2005/investment_investsd_sept6_2005.pdf;http://legacy.ab-inbev.com/go/media/global_press_releases/press_releases_search.cfm?searchYear=2005&searchMonth=2&Search=Submit
UNC414,"Khan Resources Inc., Khan Resources B.V. and Cauc Holding Company Ltd. v. the Government of Mongolia and Monatom Co., Ltd.",2011,Mongolia,Canada; Netherlands; British Virgin Islands,Mining of metal ores,Claims arising out of Mongolia’s cancellation of claimant's mining and exploration licenses for a uranium deposit located in the Dornod province in northeastern Mongolia.,Energy Charter Treaty,UNCITRAL,PCA,358000000,USD,80000000,USD,Decision on Jurisdiction dated July 2012;Award dated 2 March 2015,No,No,Not applicable,Awarded in favor of investor,None,"Williams, D. A. R.",Yes,"Fortier, L. Y.",Yes,"Hanotiau, B.",Yes,http://www.italaw.com/cases/604,http://www.encharter.org/index.php?id=213&L=0#Khan;http://www.iareporter.com/articles/20150303;http://globalarbitrationreview.com/news/article/33594/mongolia-held-liable-uranium-dispute/www.marketwired.com/press-release/khan-announces-us100-million-international-arbitration-award-cnsx-kri-1996568.htm
UNC226,Rail World LLC and others v. Estonia (ICSID Case No. ARB/06/6),2006,Estonia,Netherlands; United States of America,Civil engineering,"Claims arising out of Estonia's renationalisation of its national railway, which allegedly reversed a planned privatisation and modified claimants' rail operations contract.",Estonia-Netherlands BIT; Estonia-United States BIT,ICSID,ICSID,440000000,USD,200000000,USD,"Order taking note of the discontinuance issued by the Tribunal dated 5 February 2007, pursuant to Arbitration Rule 43(1)",Yes,No,Not applicable,Settled,None,"Kaufmann-Kohler, G.",Yes,"Böckstiegel, K.-H.",Yes,"Gaillard, E. (replacement); Raeside, M. (resigned)",Yes,http://www.italaw.com/cases/901,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/06/6;http://globalarbitrationreview.com/news/article/13738/estonia-ends-railway-dispute/;http://www.expertguides.com/default.asp?page=2&egaBOBID=97&CountryID=118&ExpertOfficeID=20042&GuideID=204&fcIndex=681&fIndex=205
UNC052,CME Czech Republic B.V. v. The Czech Republic,2000,Czech Republic,Netherlands,Programming and broadcasting activities,"Claims arising out of actions and omissions attributed to the Media Council, an organ of the Czech Republic that allegedly commercially destroyed the broadcasting station operator which was partly owned by the investor.",Czech Republic-Netherlands BIT,UNCITRAL,Ad hoc,495200000,USD,270000000,USD,Partial Award dated 13 September 2001;Final Award dated 14 March 2003,Yes,Yes,"Dissenting opinion of the Arbitrator JUDr Jaroslav Hándl (Partial Award);Separate Opinion on the issues at the quantum phases of CME v. Czech Republic by Ian Brownlie, C.B.E., Q.C. (Final Award)",Awarded in favor of investor,Judicial review,"Kühn, W.",Yes,"Schwebel, S. M.",Yes,"Hándl, J.",Yes,http://www.italaw.com/cases/281,http://www.biicl.org/files/3919_2003_cme_v_czech_republic.pdf
UNC057,SalUnited Kingdoma Investments BV v. The Czech Republic,2001,Czech Republic,Netherlands,"Financial service activities, except insurance and pension funding",Claims arising out of the imposition of a forced administration upon the investor's banking enterprise by the Czech National Bank.,Czech Republic-Netherlands BIT,UNCITRAL,PCA,1900000000,USD,281000000,USD,Decision on Jurisdiction over the Czech Republic's Counterclaim dated 7 May 2004;Partial Award dated 17 March 2006,Yes,No,Not applicable,Settled,Judicial review,"Watts, A. (replacement); Lauterpacht, E. (resigned)",Yes,"Fortier, L. Y. (replacement); Price, D. M. (resigned)",Yes,"Behrens, P.",Yes,http://www.italaw.com/cases/961,http://www.pca-cpa.org/showpage.asp?pag_id=1149;http://books.google.ch/books?id=IAfb_1jKd1oC&pg=PA188&lpg=PA188&dq=salUnited Kingdoma+czech+republic+settlement&source=bl&ots=Nr2pph_660&sig=AtTd5utCZrtXsmIqTzDP_Pl27Xg&hl=en&sa=X&ei=zpBgVLGtKNPXatnogvAE&ved=0CCkQ6AEwAg#v=onepage&q=salUnited Kingdoma%20czech%20republic%20settlement&f=false
UNC428,OI European Group B.V. v. Venezuela (ICSID Case No. ARB/11/25),2011,"Venezuela, Bolivarian Republic of",Netherlands,Manufacture of other non-metallic mineral products,Claims arising out of disagreements between the parties over the amount of compensation owed by the Government for the nationalization of two expropriated glass manufacturing plants in which the claimant had invested.,Netherlands-Venezuela BIT,ICSID,ICSID,929500000,USD,372400000,USD,Award dated 10 March 2015,Yes,No,Not applicable,Awarded in favor of investor,None,"Fernández-Armesto, J.",Yes,"Orrego Vicuña, F.",Yes,"Mourre, A.",Yes,http://www.italaw.com/cases/2979,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/11/25;http://globalarbitrationreview.com/news/article/33624/venezuela-loses-bit-bottle-battle/;http://www.iareporter.com/articles/20150312_2;http://globalarbitrationreview.com/news/article/29870/no-green-bottles-hanging-wall-icsid-registers-new-claim-against-venezuela/;https://www.victoriaadvocate.com/news/2011/sep/28/bc-lt-venezuela-owens-illinois/;http://www.iareporter.com/articles/20120410;http://www.iareporter.com/articles/20111012;http://www.toledoblade.com/business/2011/09/29/Untitled-BS3OUnited KingdomH8-1UD.html
UNC290,CEMEX Caracas Investments B.V. and CEMEX Caracas II Investments B.V. v. Venezuela (ICSID Case No. ARB/08/15),2008,"Venezuela, Bolivarian Republic of",Netherlands,Manufacture of other non-metallic mineral products,"Claims arising out of the Government's 2008 nationalization of foreign-owned cement companies in Venezuela, including the claimants, and disagreements over the amount of compensation owed to CEMEX.",Netherlands-Venezuela BIT,ICSID,ICSID,1200000000,USD,600000000,USD,"Decision on Jurisdiction dated 30 December 2010;Order taking note of the discontinuance of the proceeding issued by the Tribunal dated 15 February 2012, pursuant to ICSID Arbitration Rule 43(1)",Yes,No,Not applicable,Settled,None,"Guillaume, G.",Yes,"von Mehren, R.",Yes,"Abi-Saab, G.",Yes,http://www.italaw.com/cases/232,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/08/15;http://globalarbitrationreview.com/news/article/30013/cemex-settles-venezuela/;http://globalarbitrationreview.com/journal/article/29054/investment-treaty-arbitration-article-22-no-longer-catch-venezuela/
UNC327,"Holcim Limited, Holderfin B.V. and Caricement B.V. v. Venezuela (ICSID Case No. ARB/09/3)",2009,"Venezuela, Bolivarian Republic of",Netherlands; Switzerland,Manufacture of other non-metallic mineral products,"Claims arising out of the Government's 2008 nationalization of foreign-owned cement companies in Venezuela, including the claimants, and the alleged cease of compensation negotiations between Holcim and the national oil company PDVSA.",Switzerland-Venezuela BIT; Netherlands-Venezuela  BIT,ICSID,ICSID,,,650000000,USD,Not applicable,No,No,Not applicable,Settled,None,"Fernández-Armesto, J.",Yes,"Brower, C. N.",Yes,"Abi-Saab, G.",Yes,None,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/09/3;http://www.debevoise.com/dietmarprager;http://globalarbitrationreview.com/news/article/15189/holcim-files-against-venezuela-icsid/:http://globalarbitrationreview.com/news/article/18498/holcim-rebuffs-compensation-offer-sells-latam-assets/;http://globalarbitrationreview.com/news/article/28736/holcim-venezuela-settlement-no-surprise/;http://www.holcim.com/media-relations/latest-releases/latest-release/article/holcim-receives-final-compensation-installment-for-nationalization-of-its-operations-in-venezuela.html
UNC266,Eni Dación B.V. v. Venezuela (ICSID Case No. ARB/07/4),2007,"Venezuela, Bolivarian Republic of",Netherlands,Extraction of crude petroleum and natural gas,"Claims arising out the investor's refusal to sign an amended contract which would allegedly grant a majority stake in its oil venture to the Venezuelan State and the subsequent seizure of its assets and the Government's nationalization of the Dación oil field in which the claimant, a Dutch subsidiary of Italy's oil and gas company Eni Spa, had invested.",Netherlands-Venezuela BIT,ICSID,ICSID,1000000000,USD,700000000,USD,"Order taking note of the discontinuance issued by the Acting Secretary-General dated 18 APril 2008, pursuant to ICSID Arbitration Rule 44",No,No,Not applicable,Settled,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/07/4;http://globalarbitrationreview.com/news/article/13768/eni-registers-billion-dollar-claim/;http://www.eni.com/en_IT/media/press-releases/2008/02/2008-02-15-eni-reaches-settlement-agreement.shtml;http://www.law360.com/articles/47552/venezuela-reaches-700m-settlement-with-eni
UNC254,Venezuela Holdings B.V. and others v. Venezuela (ICSID Case No. ARB/07/27),2007,"Venezuela, Bolivarian Republic of",Bahamas; United States of America; Netherlands,Extraction of crude petroleum and natural gas,Claims arising out of Venezuela's nationalization of two oil projects in which the claimants had interests known as the Cerro Negro Project and La Ceiba Project (after having increased their applicable royalty rate and income tax) and subsequent disagreements between the parties concerning the amount of compensation owed to the investor.,Netherlands-Venezuela BIT,ICSID,ICSID,14679000000,USD,1600000000,USD,Decision on Jurisdiction dated 10 June 2010;Award of the Tribunal dated 9 October 2014,Yes,No,Not applicable,Awarded in favor of investor,None,"Guillaume, G.",Yes,"Kaufmann-Kohler, G.",Yes,"El-Kosheri, A. S.",Yes,http://www.italaw.com/cases/713,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/07/27;http://globalarbitrationreview.com/news/article/33065/exxon-gets-us16-billion-venezuela-condemns-unnecessary-arbitration/
UNC124,Eureko B.V. v. Poland,2003,Poland,Netherlands,"Insurance, reinsurance and pension funding, except compulsory social security",Claims arising out of the privatisation of a Polish insurance company and subsequent alleged actions by the Minister of the State Treasury of Poland which negatively affected the corporate governance of the company in which the claimants had invested.,Netherlands-Poland BIT,UNCITRAL,Ad hoc,10000000000,USD,4379000000,USD,Partial Award dated 19 August 2005,Yes,Yes,Dissenting Opinion of Mr. Jerzy Rajski (Partial Award),Settled,Judicial review,"Fortier, L. Y.",Yes,"Schwebel, S. M.",Yes,"Rajski, J.",Yes,http://www.italaw.com/cases/412,https://www.achmea.com/SitecollectionDocuments/2009-10-02_1.pdf;http://globalarbitrationreview.com/news/article/15079/eureko-changes-tack-recession-bites/; http://United Kingdom.practicallaw.com/6-500-6640?service=arbitration; http://www.ipe.com/eureko-secures-exit-from-polish-pzu-row/32881.fullarticle;http://books.google.ch/books?id=hFK9p5byYIAC&pg=PA92&lpg=PA92&dq=Eureko+B.V.+v.+Poland+summary&source=bl&ots=2Y9MhxA7ez&sig=dfOuxPEc1O7diadki9XqdfdyLbo&hl=de&sa=X&ei=T6tsVKPIKILCObqFgeAB&ved=0CDgQ6AEwAw#v=onepage&q=Eureko%20B.V.%20v.%20Poland%20summary&f=false
UNC173,ABCI Investments Limited v. Tunisia (ICSID Case No. ARB/04/12),2004,Tunisia,Netherlands,"Financial service activities, except insurance and pension funding","Claims arising out of the alleged takeover of claimant's controlling stake in a French-Tunisian bank by duress, including criminal proceedings against shareholders taken by the respondent following claimant's attempts to enforce an ICC award.",Netherlands-Tunisia BIT,ICSID,ICSID,0,USD,,,Decision on Jurisdiction dated 18 February 2011,Yes,Yes,Dissenting Opinion of Professor Brigitte Stern (Decision on Jurisdiction),Pending,None,"Orrego Vicuña, F.",Yes,"Bernardini, P.",Yes,"Stern, B. (replacement); Kaufmann-Kohler, G. (resigned)",Yes,http://www.italaw.com/cases/37,https://icsid.worldbank.org/apps/ICSIDWEB/cases/Pages/casedetail.aspx?CaseNo=ARB/04/12;http://globalarbitrationreview.com/news/article/29372/stern-dissents-tunisian-bank-dispute/
UNC216,K+ Venture Partners v. Czech Republic,2005,Czech Republic,Netherlands,"Financial service activities, except insurance and pension funding","Claims arising out of the termination of a contract concluded between the Dutch firm's Czech subsidiary and Czech authorities despite allegedly achieving the agreed results, and involving unpaid contractual premium for administration of certain public funds.",Czech Republic-Netherlands BIT,UNCITRAL,Ad hoc,7600000,USD,,,Data not available,No,Data not available,Data not available,Settled,None,"Sachs, K.",Yes,"Reichert, K.",Data not available,"Walde, T.",Data not available,None,files.cyil.eu/200000056-7f59d8053a/ČSMP_2011_17_fecak.pdf;http://www.iisd.org/pdf/2007/itn_jan17_2007.pdf;http://www.iisd.org/pdf/2007/itn_apr13_2007.pdf;http://globalarbitrationreview.com/news/article/13736/czech-republic-settles-k-claim/
